Time,Times,Borg,L,R
954.9685238,1,0,80,900
956.9165785,2,0,200,1100
959.0168146,3,0,100,1000
961.12104,4,0,300,1100
963.072041,5,1,200,1100
965.0137203,6,1,300,1150
967.1165926,7,1,200,1050
969.2211756,8,1,250,1150
971.1822337,9,2,400,1230
973.4161021,10,2,100,950
975.555884,11,2,200,1100
977.4886396,12,2,200,1150
979.4319272,13,2,400,1200
981.6782219,14,3,200,1000
983.7763845,15,3,200,1000
985.8713296,16,3,200,1000
987.9709036,17,3,300,1150
990.2636184,18,3,300,1100
992.3081142,19,3,200,1000
994.4219959,20,3,300,1100
996.5136558,21,3,300,1100
998.6134775,22,3,250,1150
1000.719646,23,4,100,1000
1002.820482,24,4,200,1000
1004.971149,25,4,200,1150
1007.015334,26,4,300,1100
1009.123055,27,4,350,1250
1011.20995,28,5,350,1200
1013.309366,29,5,400,1250
1015.598456,30,5,390,1290
1017.8079,31,5,350,1150
1019.915278,32,5,400,1240
1022.052072,33,5,400,1250
1024.432884,34,5,350,1200
1026.515581,35,6,400,1250
1028.901305,36,6,200,1050
1031.035025,37,6,300,1150
1033.268903,38,6,220,1100
1035.518834,39,7,300,1200
1037.645951,40,7,350,1300
1039.870428,41,7,430,1300
1042.110688,42,7,400,1250
1044.362656,43,7,350,1350
1046.778922,44,8,150,1120
1048.875112,45,8,400,1350
1051.427535,46,8,300,1300
1053.554214,47,8,300,1250
1055.772173,48,8,350,1350
1058.2036,49,9,350,1400
1060.723515,50,9,300,1400
1063.416499,51,9,150,1200
1065.672719,52,9,300,1400
1068.237696,53,9,300,1400
1070.625973,54,9,400,1380
1073.014419,55,9,300,1280
1075.425986,56,9,350,1380
1077.859154,57,9,500,1600
1080.681104,58,9,300,1530
1083.223448,59,9,300,1450
1085.925105,60,9,500,1650
1088.47915,61,9,300,1500
1091.178256,62,9,,
